mark_x,strikePrice,underlyingPrice,theoreticalOptionValue,timeValue,volatility,vega,delta,gamma,theta,rho,p_L,stock,stock_scale,Percent_profit,classifier,prophet_yhat,prophet_yhat_upper,prophet_yhat_lower
0.27999999999999936,107.0,115.545,-0.21499999999999986,-0.30000000000000004,-1.7520000000000024,0.02200000000000001,-0.04599999999999993,0.006999999999999999,-0.010000000000000002,0.017,-0.21,1,AAPL,-75.00000000000017,0,122.01110953513628,129.33133742467535,115.30070206109013
0.37999999999999895,108.0,115.545,-0.2600000000000016,-0.6,-0.8699999999999974,0.025,-0.05399999999999994,0.006999999999999999,-0.010999999999999996,0.017,-0.25,1,AAPL,-65.7894736842107,0,122.01110953513628,129.33133742467535,115.30070206109013
0.4500000000000002,109.0,115.545,-0.3100000000000005,-0.59,-0.2789999999999999,0.028,-0.06299999999999993,0.0059999999999999975,-0.011000000000000005,0.016,-0.27,1,AAPL,-59.99999999999998,0,122.01110953513628,129.33133742467535,115.30070206109013
0.5499999999999998,110.0,115.545,-0.375,-0.55,0.517000000000003,0.03,-0.07200000000000006,0.0059999999999999975,-0.011000000000000005,0.015999999999999997,-0.35,1,AAPL,-63.63636363636365,0,122.01110953513628,129.33133742467535,115.30070206109013
0.6300000000000008,111.0,115.545,-0.4450000000000003,-0.5800000000000001,0.997,0.032,-0.08000000000000007,0.003999999999999997,-0.009000000000000001,0.014999999999999998,-0.35,1,AAPL,-55.55555555555548,0,122.01110953513628,129.33133742467535,115.30070206109013
0.7200000000000002,112.0,115.545,-0.5499999999999998,-0.7599999999999999,1.8520000000000003,0.034,-0.08799999999999998,-0.0010000000000000009,-0.007000000000000006,0.014000000000000002,-0.34,1,AAPL,-47.222222222222214,0,122.01110953513628,129.33133742467535,115.30070206109013
0.8500000000000001,113.0,115.545,-0.625,-0.7999999999999999,2.0379999999999967,0.032999999999999995,-0.08699999999999998,-0.0059999999999999975,0.0,0.013000000000000001,-0.38,1,AAPL,-44.70588235294117,0,122.01110953513628,129.33133742467535,115.30070206109013
0.91,114.0,115.545,-0.75,-0.93,2.7799999999999976,0.032,-0.08300000000000007,-0.015000000000000006,0.0040000000000000036,0.012,-0.22,1,AAPL,-24.17582417582417,0,122.01110953513628,129.33133742467535,115.30070206109013
0.96,115.0,115.545,-0.8300000000000001,-0.96,2.9770000000000003,0.029999999999999995,-0.06599999999999995,-0.024,0.010999999999999996,0.012,0.02,1,AAPL,2.083333333333333,0,122.01110953513628,129.33133742467535,115.30070206109013
0.9599999999999996,116.0,115.545,-0.8999999999999999,-0.95,3.1860000000000004,0.027000000000000003,-0.041000000000000036,-0.03,0.016,0.012,0.33,1,AAPL,34.37500000000001,0,122.01110953513628,129.33133742467535,115.30070206109013
0.93,117.0,115.545,-0.9400000000000002,-0.91,3.43,0.025999999999999995,-0.009000000000000008,-0.036000000000000004,0.018000000000000002,0.011000000000000001,0.56,1,AAPL,60.21505376344086,1,122.01110953513628,129.33133742467535,115.30070206109013
0.85,118.0,115.545,-0.9400000000000002,-0.85,3.5340000000000025,0.027000000000000003,0.02799999999999997,-0.037000000000000005,0.017,0.010000000000000002,0.43,1,AAPL,50.58823529411765,1,122.01110953513628,129.33133742467535,115.30070206109013
0.7499999999999999,119.0,115.545,-0.895,-0.7400000000000001,3.5109999999999992,0.027999999999999997,0.062,-0.031,0.011999999999999995,0.011,0.2,1,AAPL,26.66666666666667,0,122.01110953513628,129.33133742467535,115.30070206109013
0.63,120.0,115.545,-0.83,-0.64,3.5040000000000013,0.031999999999999994,0.08899999999999998,-0.024,0.0050000000000000044,0.01,0.06,1,AAPL,9.523809523809524,0,122.01110953513628,129.33133742467535,115.30070206109013
0.52,121.0,115.545,-0.72,-0.5,3.2140000000000017,0.035,0.10399999999999998,-0.013000000000000005,-0.003000000000000003,0.008,-0.04,1,AAPL,-7.6923076923076925,0,122.01110953513628,129.33133742467535,115.30070206109013
0.42,122.0,115.545,-0.61,-0.41,2.990000000000002,0.037000000000000005,0.109,-0.002999999999999996,-0.010000000000000002,0.008,-0.09,1,AAPL,-21.428571428571427,0,122.01110953513628,129.33133742467535,115.30070206109013
0.33,123.0,115.545,-0.4950000000000001,-0.32,2.3039999999999985,0.037000000000000005,0.10300000000000001,0.002999999999999996,-0.013999999999999999,0.006999999999999999,-0.1,1,AAPL,-30.303030303030305,0,122.01110953513628,129.33133742467535,115.30070206109013
0.25,124.0,115.545,-0.41,-0.25,2.032,0.036000000000000004,0.095,0.008,-0.018000000000000002,0.005,-0.08,1,AAPL,-32.0,0,122.01110953513628,129.33133742467535,115.30070206109013
0.2,125.0,115.545,-0.325,-0.2,1.536999999999999,0.033,0.083,0.010000000000000002,-0.019,0.005,-0.07,1,AAPL,-35.0,0,122.01110953513628,129.33133742467535,115.30070206109013
1.2900000000000027,272.5,289.725,-0.6300000000000026,1.36,2.34,0.079,-0.08199999999999996,0.004,-0.021000000000000005,0.010000000000000002,-0.99,2,PANW,-76.74418604651144,0,244.63007350836318,265.86610198775946,223.96741185474076
1.0700000000000005,275.0,289.725,-1.1099999999999994,1.13,3.456000000000003,0.08900000000000001,-0.09900000000000007,0.002,-0.01999999999999999,0.015000000000000006,-0.69,2,PANW,-64.48598130841118,0,244.63007350836318,265.86610198775946,223.96741185474076
1.0999999999999996,277.5,289.725,-1.2490000000000006,-4.8100000000000005,4.612000000000002,0.095,-0.11199999999999999,0.002,-0.027000000000000003,0.01600000000000001,-0.42,2,PANW,-38.18181818181819,0,244.63007350836318,265.86610198775946,223.96741185474076
1.8199999999999985,280.0,289.725,-1.5939999999999994,-1.55,4.030000000000001,0.08900000000000001,-0.10599999999999997,-0.0019999999999999983,0.003000000000000003,0.019000000000000003,-1.72,2,PANW,-94.50549450549458,0,244.63007350836318,265.86610198775946,223.96741185474076
3.0600000000000005,282.5,289.725,-1.8710000000000004,-5.16,4.885999999999999,0.08800000000000001,-0.10799999999999996,-0.005000000000000001,0.008000000000000007,0.020000000000000004,-1.81,2,PANW,-59.15032679738561,0,244.63007350836318,265.86610198775946,223.96741185474076
2.7700000000000005,285.0,289.725,-2.138,-6.37,5.0760000000000005,0.07999999999999999,-0.09399999999999996,-0.008,0.026000000000000027,0.02200000000000001,-1.17,2,PANW,-42.23826714801443,0,244.63007350836318,265.86610198775946,223.96741185474076
2.33,287.5,289.725,-2.5360000000000005,-5.7200000000000015,5.998000000000001,0.07300000000000001,-0.07200000000000006,-0.013000000000000001,0.035,0.022,-0.46,2,PANW,-19.742489270386265,0,244.63007350836318,265.86610198775946,223.96741185474076
2.59,290.0,289.725,-2.6930000000000005,-4.42,5.993000000000002,0.066,-0.037999999999999916,-0.015,0.04700000000000002,0.023,-0.12,2,PANW,-4.633204633204633,0,244.63007350836318,265.86610198775946,223.96741185474076
2.71,292.5,289.725,-2.6500000000000004,-2.99,5.190000000000001,0.064,0.0,-0.013999999999999999,0.059,0.024,-0.11,2,PANW,-4.059040590405904,0,244.63007350836318,265.86610198775946,223.96741185474076
2.14,295.0,289.725,-2.9450000000000003,-4.42,6.662000000000003,0.067,0.03899999999999998,-0.014000000000000002,0.038000000000000034,0.024,1.97,2,PANW,92.05607476635514,1,244.63007350836318,265.86610198775946,223.96741185474076
0.1299999999999999,26.5,29.645,-0.17000000000000035,-0.5800000000000001,5.670000000000003,0.009000000000000001,-0.08899999999999998,0.023,-0.009000000000000001,0.003999999999999999,-0.06,3,USO,-46.15384615384619,0,23.45421448960739,27.56293710489419,19.924712439625452
0.1499999999999999,27.0,29.645,-0.20000000000000012,-0.14,5.548000000000003,0.009000000000000001,-0.09800000000000007,0.013999999999999999,-0.006999999999999999,0.003999999999999999,-0.05,3,USO,-33.33333333333336,0,23.45421448960739,27.56293710489419,19.924712439625452
0.18999999999999995,27.5,29.645,-0.25,-0.18000000000000002,6.594000000000001,0.009000000000000001,-0.10699999999999996,-0.005999999999999992,-0.0049999999999999975,0.003,-0.09,3,USO,-47.3684210526316,0,23.45421448960739,27.56293710489419,19.924712439625452
0.24,28.0,29.645,-0.30499999999999994,-0.18,7.763999999999998,0.009000000000000001,-0.10799999999999996,-0.03899999999999998,-0.0029999999999999988,0.003,-0.14,3,USO,-58.33333333333334,0,23.45421448960739,27.56293710489419,19.924712439625452
0.30000000000000004,28.5,29.645,-0.3450000000000002,-0.15000000000000002,7.785,0.007999999999999998,-0.08199999999999996,-0.086,0.0,0.003,-0.13,3,USO,-43.33333333333333,0,23.45421448960739,27.56293710489419,19.924712439625452
0.3499999999999999,29.0,29.645,-0.36,-0.22,7.270000000000002,0.006999999999999999,-0.030000000000000027,-0.125,0.003000000000000003,0.002,-0.13,3,USO,-37.142857142857146,0,23.45421448960739,27.56293710489419,19.924712439625452
0.39,29.5,29.645,-0.35,-0.4099999999999999,6.950999999999998,0.0059999999999999975,0.035999999999999976,-0.132,0.0029999999999999988,0.002,-0.1,3,USO,-25.64102564102565,0,23.45421448960739,27.56293710489419,19.924712439625452
0.3500000000000001,30.0,29.645,-0.29000000000000004,-0.3400000000000001,5.276,0.006999999999999999,0.08600000000000002,-0.08900000000000002,0.0020000000000000018,0.002,0.04,3,USO,11.428571428571427,0,23.45421448960739,27.56293710489419,19.924712439625452
0.27,30.5,29.645,-0.19,-0.27,1.977000000000004,0.009000000000000001,0.09300000000000004,-0.03,0.0010000000000000009,0.002,0.26,3,USO,96.29629629629628,1,23.45421448960739,27.56293710489419,19.924712439625452
0.15999999999999998,31.0,29.645,-0.15000000000000002,-0.16999999999999998,1.131999999999998,0.009000000000000001,0.091,0.0020000000000000018,-0.0020000000000000018,0.001,0.52,3,USO,325.00000000000006,1,23.45421448960739,27.56293710489419,19.924712439625452
0.09,31.5,29.645,-0.07500000000000001,-0.09,-3.0679999999999983,0.006999999999999999,0.05600000000000002,0.015,0.0009999999999999992,0.002,0.53,3,USO,588.8888888888888,1,23.45421448960739,27.56293710489419,19.924712439625452
0.01,33.5,29.645,-0.015,0.0,-8.613999999999997,0.003,0.013999999999999999,0.009999999999999998,0.0,0.0,0.13,3,USO,1300.0,0,23.45421448960739,27.56293710489419,19.924712439625452
0.0,122.0,131.485,-0.9629999999999992,0.0,1.2119999999999962,0.034,-0.07799999999999996,-0.0019999999999999983,0.04400000000000001,0.008,-0.0,4,TIF,,0,129.6681763822236,135.4778507202695,123.68235189145868
0.0,123.0,131.485,-0.9599999999999992,0.0,1.7340000000000018,0.03400000000000001,-0.07999999999999996,-0.0029999999999999988,0.04400000000000001,0.008,-0.0,4,TIF,,0,129.6681763822236,135.4778507202695,123.68235189145868
0.0,124.0,131.485,-0.9580000000000002,-1.84,2.2589999999999932,0.035,-0.08200000000000007,-0.004,0.04299999999999998,0.009000000000000001,-0.0,4,TIF,,0,129.6681763822236,135.4778507202695,123.68235189145868
