mark_x,strikePrice,underlyingPrice,theoreticalOptionValue,timeValue,volatility,vega,delta,gamma,theta,rho,p_L,stock,stock_scale,Percent_profit,classifier,prophet_yhat,prophet_yhat_upper,prophet_yhat_lower
0.28,107.0,115.545,-0.21,-0.29,-1.7520000000000024,0.02200000000000001,-0.046,0.006999999999999999,-0.009999999999999998,-0.003,-0.2,1,AAPL,-71.42857142857143,0,122.01110953513628,129.33133742467535,115.30070206109013
0.35,108.0,115.545,-0.255,-0.34,-0.8699999999999974,0.025,-0.054000000000000006,0.006999999999999999,-0.011999999999999995,-0.004,-0.25,1,AAPL,-71.42857142857143,0,122.01110953513628,129.33133742467535,115.30070206109013
0.4300000000000001,109.0,115.545,-0.305,-0.44,-0.2789999999999999,0.028,-0.063,0.0059999999999999975,-0.012000000000000005,-0.005,-0.3,1,AAPL,-69.7674418604651,0,122.01110953513628,129.33133742467535,115.30070206109013
0.52,110.0,115.545,-0.37,-0.53,0.517000000000003,0.03,-0.07200000000000001,0.0059999999999999975,-0.011000000000000005,-0.005,-0.34,1,AAPL,-65.38461538461539,0,122.01110953513628,129.33133742467535,115.30070206109013
0.62,111.0,115.545,-0.44,-0.63,0.997,0.032,-0.08000000000000003,0.003999999999999997,-0.008999999999999994,-0.006,-0.36,1,AAPL,-58.06451612903225,0,122.01110953513628,129.33133742467535,115.30070206109013
0.72,112.0,115.545,-0.5449999999999999,-0.7299999999999999,1.8520000000000003,0.034,-0.08899999999999998,-0.0010000000000000009,-0.007000000000000006,-0.006999999999999999,-0.36,1,AAPL,-50.0,0,122.01110953513628,129.33133742467535,115.30070206109013
0.83,113.0,115.545,-0.62,-0.83,2.0379999999999967,0.032999999999999995,-0.087,-0.006999999999999999,-0.000999999999999987,-0.008,-0.34,1,AAPL,-40.96385542168675,0,122.01110953513628,129.33133742467535,115.30070206109013
0.91,114.0,115.545,-0.7449999999999999,-0.93,2.7799999999999976,0.032,-0.08399999999999999,-0.015000000000000006,0.003000000000000003,-0.009000000000000001,-0.22,1,AAPL,-24.17582417582417,0,122.01110953513628,129.33133742467535,115.30070206109013
0.9600000000000002,115.0,115.545,-0.825,-0.97,2.9770000000000003,0.029999999999999995,-0.06699999999999995,-0.024,0.009999999999999995,-0.010000000000000002,-0.01,1,AAPL,-1.0416666666666663,0,122.01110953513628,129.33133742467535,115.30070206109013
0.9600000000000002,116.0,115.545,-0.895,-0.99,3.1860000000000004,0.027000000000000003,-0.041000000000000036,-0.03,0.016,-0.011000000000000001,0.32,1,AAPL,33.33333333333333,0,122.01110953513628,129.33133742467535,115.30070206109013
0.9300000000000002,117.0,115.545,-0.9349999999999998,-0.93,3.43,0.025999999999999995,-0.009000000000000008,-0.036000000000000004,0.018000000000000002,-0.011,0.54,1,AAPL,58.06451612903225,1,122.01110953513628,129.33133742467535,115.30070206109013
0.8300000000000001,118.0,115.545,-0.9349999999999998,-0.85,3.5340000000000025,0.027000000000000003,0.028000000000000025,-0.037000000000000005,0.016,-0.011000000000000001,0.44,1,AAPL,53.01204819277108,1,122.01110953513628,129.33133742467535,115.30070206109013
0.75,119.0,115.545,-0.8900000000000001,-0.7100000000000001,3.5109999999999992,0.027999999999999997,0.06300000000000006,-0.031,0.010999999999999996,-0.012,0.2,1,AAPL,26.66666666666667,0,122.01110953513628,129.33133742467535,115.30070206109013
0.6200000000000001,120.0,115.545,-0.8249999999999997,-0.55,3.5040000000000013,0.031999999999999994,0.08899999999999998,-0.023,0.0040000000000000036,-0.012999999999999998,0.07,1,AAPL,11.29032258064516,0,122.01110953513628,129.33133742467535,115.30070206109013
0.5,121.0,115.545,-0.7149999999999999,-0.56,3.2140000000000017,0.035,0.10300000000000008,-0.012000000000000005,-0.00399999999999999,-0.015,-0.03,1,AAPL,-6.0,0,122.01110953513628,129.33133742467535,115.30070206109013
0.4000000000000004,122.0,115.545,-0.6049999999999995,-0.26,2.990000000000002,0.036000000000000004,0.11,-0.003999999999999997,-0.011000000000000005,-0.011000000000000005,-0.05,1,AAPL,-12.499999999999988,0,122.01110953513628,129.33133742467535,115.30070206109013
0.2999999999999998,123.0,115.545,-0.4900000000000002,-0.39,2.3039999999999985,0.037000000000000005,0.10199999999999998,0.002999999999999996,-0.015,-0.016,-0.07,1,AAPL,-23.33333333333335,0,122.01110953513628,129.33133742467535,115.30070206109013
0.25,124.0,115.545,-0.40500000000000025,0.7,2.032,0.036000000000000004,0.09500000000000007,0.008,-0.017999999999999995,-0.018000000000000002,-0.1,1,AAPL,-40.0,0,122.01110953513628,129.33133742467535,115.30070206109013
0.16999999999999993,125.0,115.545,-0.3200000000000003,-0.11,1.536999999999999,0.033,0.08299999999999996,0.010000000000000002,-0.019,-0.019,-0.07,1,AAPL,-41.17647058823531,0,122.01110953513628,129.33133742467535,115.30070206109013
0.72,272.5,289.725,-1.0699999999999998,-1.41,2.34,0.084,-0.08700000000000001,0.004,-0.05999999999999999,-0.014000000000000002,-0.15,2,PANW,-20.833333333333336,0,244.63007350836318,265.86610198775946,223.96741185474076
1.36,275.0,289.725,-1.575,-1.12,3.456000000000003,0.092,-0.103,0.0009999999999999992,-0.059,-0.018000000000000002,-0.92,2,PANW,-67.64705882352939,0,244.63007350836318,265.86610198775946,223.96741185474076
1.71,277.5,289.725,-1.7200000000000002,-1.31,4.612000000000002,0.098,-0.11599999999999999,0.002,-0.065,-0.019000000000000003,-1.32,2,PANW,-77.19298245614036,0,244.63007350836318,265.86610198775946,223.96741185474076
1.96,280.0,289.725,-2.08,-1.67,4.030000000000001,0.091,-0.10800000000000001,-0.0019999999999999983,-0.037000000000000005,-0.022,-1.38,2,PANW,-70.40816326530613,0,244.63007350836318,265.86610198775946,223.96741185474076
2.18,282.5,289.725,-2.365,-4.4,4.885999999999999,0.08900000000000001,-0.11,-0.005000000000000001,-0.032,-0.024,-1.2,2,PANW,-55.04587155963303,0,244.63007350836318,265.86610198775946,223.96741185474076
2.32,285.0,289.725,-2.640000000000001,-2.0,5.0760000000000005,0.08099999999999999,-0.09599999999999996,-0.009000000000000001,-0.013999999999999985,-0.027000000000000003,-1.31,2,PANW,-56.46551724137932,0,244.63007350836318,265.86610198775946,223.96741185474076
2.51,287.5,289.725,-3.0449999999999995,-1.81,5.998000000000001,0.07400000000000001,-0.07300000000000001,-0.013000000000000001,-0.0050000000000000044,-0.029,-0.49,2,PANW,-19.52191235059761,0,244.63007350836318,265.86610198775946,223.96741185474076
2.33,290.0,289.725,-3.205,-1.9200000000000004,5.993000000000002,0.067,-0.038000000000000034,-0.015,0.0060000000000000045,-0.03,0.12,2,PANW,5.150214592274677,0,244.63007350836318,265.86610198775946,223.96741185474076
2.5500000000000007,292.5,289.725,-3.1659999999999995,-1.0000000000000004,5.190000000000001,0.064,0.0,-0.013999999999999999,0.01799999999999996,-0.032,0.45,2,PANW,17.647058823529406,0,244.63007350836318,265.86610198775946,223.96741185474076
1.830000000000001,295.0,289.725,-3.4620000000000006,-1.66,6.662000000000003,0.067,0.039999999999999925,-0.014999999999999998,-0.0020000000000000018,-0.033000000000000015,2.15,2,PANW,117.48633879781414,1,244.63007350836318,265.86610198775946,223.96741185474076
